explo,date,temperature,precipitation,dwd_stations_id
SCH,2006-05-29,11.1,0.0,164
SCH,2006-05-30,9.4,5.1,164
SCH,2006-05-31,10.8,4.1,164
SCH,2006-06-01,9.9,0.0,164
SCH,2006-06-02,11.9,0.0,164
SCH,2006-06-03,10.9,5.3,164
SCH,2006-06-04,11.8,0.0,164
SCH,2006-06-05,10.5,0.0,164
SCH,2006-06-06,11.8,2.2,164
SCH,2006-06-07,13.7,0.0,164
SCH,2006-06-08,15.9,0.0,164
SCH,2006-06-09,16.8,0.0,164
SCH,2006-06-10,16.9,0.0,164
SCH,2006-06-11,19.7,0.0,164
SCH,2006-06-12,21.5,0.0,164
SCH,2006-06-13,22.5,0.0,164
SCH,2006-06-14,23.8,0.0,164
SCH,2006-06-15,21.8,2.2,164
SCH,2006-06-16,19.6,1.2,164
SCH,2006-06-17,16.1,1.0,164
SCH,2006-06-18,17.5,0.3,164
SCH,2006-06-19,22.0,0.7,164
SCH,2006-06-20,21.8,0.0,164
SCH,2006-06-21,22.7,2.3,164
SCH,2006-06-22,19.7,0.0,164
SCH,2006-06-23,16.7,0.0,164
SCH,2006-06-24,19.0,0.0,164
SCH,2006-06-25,23.5,0.0,164
SCH,2006-06-26,24.1,0.0,164
SCH,2006-06-27,20.9,0.0,164
SCH,2006-06-28,17.8,0.0,164
SCH,2006-06-29,16.2,0.0,164
SCH,2006-06-30,16.5,0.0,164
SCH,2006-07-01,20.7,0.0,164
SCH,2006-07-02,21.2,0.0,164
SCH,2006-07-03,22.1,0.0,164
SCH,2006-07-04,22.0,0.0,164
SCH,2006-07-05,24.8,0.0,164
SCH,2006-07-06,25.2,6.5,164
SCH,2006-07-07,23.7,12.3,164
SCH,2006-07-08,20.9,0.1,164
SCH,2006-07-09,23.1,0.0,164
SCH,2006-07-10,23.2,0.0,164
SCH,2006-07-11,24.2,0.0,164
SCH,2006-07-12,22.1,0.0,164
SCH,2006-07-13,23.5,0.0,164
SCH,2006-07-14,19.4,0.0,164
SCH,2006-07-15,17.9,0.0,164
SCH,2006-07-16,18.6,0.0,164
SCH,2006-07-17,20.1,0.0,164
SCH,2006-07-18,23.6,0.0,164
SCH,2006-07-19,24.4,0.0,164
SCH,2006-07-20,26.8,0.0,164
SCH,2006-07-21,26.2,1.2,164
SCH,2006-07-22,23.8,0.0,164
SCH,2006-07-23,23.9,0.0,164
SCH,2006-07-24,24.2,0.0,164
SCH,2006-07-25,23.3,0.0,164
SCH,2006-07-26,23.7,0.0,164
SCH,2006-07-27,25.3,0.0,164
SCH,2006-07-28,25.1,6.1,164
SCH,2006-07-29,21.2,0.1,164
SCH,2006-07-30,23.3,0.3,164
SCH,2006-07-31,21.8,0.0,164
SCH,2006-08-01,21.3,4.4,164
SCH,2006-08-02,17.7,0.4,164
SCH,2006-08-03,16.7,0.3,164
SCH,2006-08-04,17.9,0.7,164
SCH,2006-08-05,17.2,24.9,164
SCH,2006-08-06,18.7,0.0,164
SCH,2006-08-07,20.1,0.0,164
SCH,2006-08-08,18.7,0.0,164
SCH,2006-08-09,17.9,0.0,164
SCH,2006-08-10,16.3,0.0,164
SCH,2006-08-11,15.7,0.3,164
SCH,2006-08-12,16.1,0.2,164
SCH,2006-08-13,14.6,10.6,164
SCH,2006-08-14,16.4,0.0,164
SCH,2006-08-15,16.7,2.1,164
SCH,2006-08-16,18.4,2.4,164
SCH,2006-08-17,19.2,0.0,164
SCH,2006-08-18,20.6,2.4,164
SCH,2006-08-19,20.9,5.9,164
SCH,2006-08-20,18.6,2.6,164
SCH,2006-08-21,16.4,9.4,164
SCH,2006-08-22,16.1,0.0,164
SCH,2006-08-23,16.9,1.4,164
SCH,2006-08-24,17.4,0.0,164
SCH,2006-08-25,14.2,4.0,164
SCH,2006-08-26,15.0,3.3,164
SCH,2006-08-27,15.5,1.2,164
SCH,2006-08-28,15.5,1.6,164
SCH,2006-08-29,12.7,0.2,164
SCH,2006-08-30,14.3,0.6,164
SCH,2006-08-31,16.0,0.4,164
SCH,2006-09-01,16.7,0.1,164
SCH,2006-09-02,19.9,2.8,164
SCH,2006-09-03,18.5,7.7,164
SCH,2006-09-04,17.6,0.0,164
SCH,2006-09-05,15.7,0.0,164
SCH,2006-09-06,17.3,0.0,164
SCH,2006-09-07,18.5,3.9,164
SCH,2006-09-08,14.3,0.1,164
SCH,2006-09-09,14.1,0.0,164
SCH,2006-09-10,16.0,0.0,164
SCH,2006-09-11,16.4,0.0,164
SCH,2006-09-12,17.2,0.0,164
SCH,2006-09-13,17.5,0.0,164
SCH,2006-09-14,17.7,0.0,164
SCH,2006-09-15,19.0,0.0,164
SCH,2006-09-16,20.0,0.0,164
SCH,2006-09-17,18.4,0.0,164
SCH,2006-09-18,18.8,0.0,164
SCH,2006-09-19,17.1,0.0,164
SCH,2006-09-20,15.2,0.0,164
SCH,2006-09-21,15.8,0.0,164
SCH,2006-09-22,17.8,0.0,164
SCH,2006-09-23,17.4,0.0,164
SCH,2006-09-24,19.2,0.0,164
SCH,2006-09-25,18.4,0.0,164
SCH,2006-09-26,18.0,0.0,164
SCH,2006-09-27,15.4,3.7,164
SCH,2006-09-28,15.0,0.0,164
SCH,2006-09-29,16.8,0.0,164
SCH,2006-09-30,17.0,0.0,164
SCH,2006-10-01,16.0,0.0,164
SCH,2006-10-02,15.6,0.0,164
SCH,2006-10-03,13.8,0.0,164
SCH,2006-10-04,13.0,1.6,164
SCH,2006-10-05,11.8,2.0,164
SCH,2006-10-06,12.7,2.8,164
SCH,2006-10-07,13.5,0.7,164
SCH,2006-10-08,12.8,0.0,164
SCH,2006-10-09,13.0,0.0,164
SCH,2006-10-10,12.0,0.0,164
SCH,2006-10-11,11.4,0.0,164
SCH,2006-10-12,11.4,0.0,164
SCH,2006-10-13,11.3,0.0,164
SCH,2006-10-14,9.0,0.3,164
SCH,2006-10-15,9.4,0.0,164
SCH,2006-10-16,9.5,0.0,164
SCH,2006-10-17,7.5,0.0,164
SCH,2006-10-18,8.2,0.0,164
SCH,2006-10-19,10.2,0.0,164
SCH,2006-10-20,10.0,1.2,164
SCH,2006-10-21,12.2,0.0,164
SCH,2006-10-22,13.5,0.0,164
SCH,2006-10-23,14.7,0.8,164
SCH,2006-10-24,15.8,2.3,164
SCH,2006-10-25,11.2,0.0,164
SCH,2006-10-26,14.4,0.0,164
SCH,2006-10-27,15.1,0.8,164
SCH,2006-10-28,10.4,1.9,164
SCH,2006-10-29,10.2,5.0,164
SCH,2006-10-30,6.5,0.0,164
SCH,2006-10-31,11.4,3.6,164
SCH,2006-11-01,4.2,1.3,164
SCH,2006-11-02,0.9,0.0,164
SCH,2006-11-03,0.5,0.0,164
SCH,2006-11-04,4.8,1.5,164
SCH,2006-11-05,9.7,10.9,164
SCH,2006-11-06,11.1,0.0,164
SCH,2006-11-07,8.6,0.0,164
SCH,2006-11-08,6.5,0.7,164
SCH,2006-11-09,8.1,0.7,164
SCH,2006-11-10,5.8,0.0,164
SCH,2006-11-11,5.7,2.8,164
SCH,2006-11-12,5.6,5.5,164
SCH,2006-11-13,6.1,5.1,164
SCH,2006-11-14,9.8,0.1,164
SCH,2006-11-15,11.3,0.0,164
SCH,2006-11-16,10.8,0.0,164
SCH,2006-11-17,10.6,0.4,164
SCH,2006-11-18,9.9,0.3,164
SCH,2006-11-19,7.9,2.3,164
SCH,2006-11-20,5.8,0.1,164
SCH,2006-11-21,6.2,1.1,164
SCH,2006-11-22,4.8,0.0,164
SCH,2006-11-23,4.5,4.5,164
SCH,2006-11-24,9.8,0.0,164
SCH,2006-11-25,9.4,0.0,164
SCH,2006-11-26,11.0,0.0,164
SCH,2006-11-27,6.5,0.0,164
SCH,2006-11-28,4.7,0.0,164
SCH,2006-11-29,6.3,0.0,164
SCH,2006-11-30,5.1,0.0,164
SCH,2006-12-01,4.0,0.0,164
SCH,2006-12-02,4.7,0.0,164
SCH,2006-12-03,6.6,1.5,164
SCH,2006-12-04,7.3,2.6,164
SCH,2006-12-05,11.0,0.1,164
SCH,2006-12-06,10.5,0.5,164
SCH,2006-12-07,7.8,0.1,164
SCH,2006-12-08,9.0,0.0,164
SCH,2006-12-09,8.7,0.0,164
SCH,2006-12-10,4.4,0.0,164
SCH,2006-12-11,3.1,3.0,164
SCH,2006-12-12,5.6,1.4,164
SCH,2006-12-13,6.9,0.5,164
SCH,2006-12-14,9.6,0.0,164
SCH,2006-12-15,6.5,0.0,164
SCH,2006-12-16,6.3,1.0,164
SCH,2006-12-17,4.4,0.3,164
SCH,2006-12-18,3.3,0.0,164
SCH,2006-12-19,3.4,0.1,164
SCH,2006-12-20,5.2,0.1,164
SCH,2006-12-21,4.9,0.0,164
SCH,2006-12-22,5.3,0.0,164
SCH,2006-12-23,4.8,0.0,164
SCH,2006-12-24,4.6,0.0,164
SCH,2006-12-25,4.9,0.0,164
SCH,2006-12-26,1.5,0.0,164
SCH,2006-12-27,0.2,0.0,164
SCH,2006-12-28,-0.4,0.2,164
SCH,2006-12-29,1.7,0.0,164
SCH,2006-12-30,3.2,4.2,164
SCH,2006-12-31,7.9,2.2,164
SCH,2007-01-01,7.7,0.0,164
SCH,2007-01-02,5.0,0.8,164
SCH,2007-01-03,5.2,0.4,164
SCH,2007-01-04,6.7,1.3,164
SCH,2007-01-05,7.0,0.1,164
SCH,2007-01-06,7.7,5.3,164
SCH,2007-01-07,4.7,0.0,164
SCH,2007-01-08,6.7,1.3,164
SCH,2007-01-09,10.4,1.5,164
SCH,2007-01-10,11.9,1.2,164
SCH,2007-01-11,6.1,7.0,164
SCH,2007-01-12,7.4,0.4,164
SCH,2007-01-13,10.1,2.3,164
SCH,2007-01-14,7.9,0.3,164
SCH,2007-01-15,4.2,0.0,164
SCH,2007-01-16,3.7,1.2,164
SCH,2007-01-17,7.1,1.4,164
SCH,2007-01-18,8.3,19.7,164
SCH,2007-01-19,6.1,4.8,164
SCH,2007-01-20,7.8,4.8,164
SCH,2007-01-21,5.5,1.0,164
SCH,2007-01-22,2.2,0.9,164
SCH,2007-01-23,-3.7,0.0,164
SCH,2007-01-24,-3.6,0.6,164
SCH,2007-01-25,-3.4,0.8,164
SCH,2007-01-26,-4.5,0.8,164
SCH,2007-01-27,-0.5,2.1,164
SCH,2007-01-28,2.4,4.6,164
