date,biomass_remaining,id
1982-05-15,320.0,1
1982-06-14,320.0,1
1982-07-19,320.0,1
1982-08-28,320.0,1
1982-10-07,320.0,1
1982-05-15,320.0,2
1982-06-14,320.0,2
1982-07-19,320.0,2
1982-08-28,320.0,2
1982-10-07,320.0,2
1982-05-15,320.0,3
1982-06-14,320.0,3
1982-07-19,320.0,3
1982-08-28,320.0,3
1982-10-07,320.0,3
1982-05-15,320.0,4
1982-06-14,320.0,4
1982-07-19,320.0,4
1982-08-28,320.0,4
1982-10-07,320.0,4
1983-05-15,200.0,5
1983-06-14,200.0,5
1983-07-19,200.0,5
1983-08-28,200.0,5
1983-10-07,200.0,5
1983-05-15,200.0,6
1983-06-14,200.0,6
1983-07-19,200.0,6
1983-08-28,200.0,6
1983-10-07,200.0,6
1984-05-14,200.0,7
1984-06-13,200.0,7
1984-07-18,200.0,7
1984-08-27,200.0,7
1984-10-06,200.0,7
1984-05-14,200.0,8
1984-06-13,200.0,8
1984-07-18,200.0,8
1984-08-27,200.0,8
1984-10-06,200.0,8
1985-05-15,200.0,9
1985-06-14,200.0,9
1985-07-19,200.0,9
1985-08-28,200.0,9
1985-10-07,200.0,9
1985-05-15,200.0,10
1985-06-14,200.0,10
1985-07-19,200.0,10
1985-08-28,200.0,10
1985-10-07,200.0,10
1983-05-15,320.0,11
1983-06-14,320.0,11
1983-07-19,320.0,11
1983-08-28,320.0,11
1983-10-07,320.0,11
1984-05-14,320.0,12
1984-06-13,320.0,12
1984-07-18,320.0,12
1984-08-27,320.0,12
1984-10-06,320.0,12
1985-05-15,320.0,13
1985-06-14,320.0,13
1985-07-19,320.0,13
1985-08-28,320.0,13
1985-10-07,320.0,13
1986-05-15,320.0,14
1986-06-14,320.0,14
1986-07-19,320.0,14
1986-08-28,320.0,14
1986-10-07,320.0,14
1983-05-15,200.0,15
1983-06-14,200.0,15
1983-07-19,200.0,15
1983-08-28,200.0,15
1983-10-07,200.0,15
1984-05-14,200.0,16
1984-06-13,200.0,16
1984-07-18,200.0,16
1984-08-27,200.0,16
1984-10-06,200.0,16
1985-05-15,200.0,17
1985-06-14,200.0,17
1985-07-19,200.0,17
1985-08-28,200.0,17
1985-10-07,200.0,17
1986-05-15,200.0,18
1986-06-14,200.0,18
1986-07-19,200.0,18
1986-08-28,200.0,18
1986-10-07,200.0,18
1984-05-14,200.0,19
1984-06-13,200.0,19
1984-07-18,200.0,19
1984-08-27,200.0,19
1984-10-06,200.0,19
1984-05-14,200.0,20
1984-06-13,200.0,20
1984-07-18,200.0,20
1984-08-27,200.0,20
1984-10-06,200.0,20
1985-05-15,200.0,21
1985-06-14,200.0,21
1985-07-19,200.0,21
1985-08-28,200.0,21
1985-10-07,200.0,21
1985-05-15,200.0,22
1985-06-14,200.0,22
1985-07-19,200.0,22
1985-08-28,200.0,22
1985-10-07,200.0,22
1983-05-15,320.0,23
1983-06-14,320.0,23
1983-07-19,320.0,23
1983-08-28,320.0,23
1983-10-07,320.0,23
1984-05-14,320.0,24
1984-06-13,320.0,24
1984-07-18,320.0,24
1984-08-27,320.0,24
1984-10-06,320.0,24
1985-05-15,320.0,25
1985-06-14,320.0,25
1985-07-19,320.0,25
1985-08-28,320.0,25
1985-10-07,320.0,25
1986-05-15,320.0,26
1986-06-14,320.0,26
1986-07-19,320.0,26
1986-08-28,320.0,26
1986-10-07,320.0,26
1983-05-15,200.0,27
1983-06-14,200.0,27
1983-07-19,200.0,27
1983-08-28,200.0,27
1983-10-07,200.0,27
1986-05-15,200.0,28
1986-06-14,200.0,28
1986-07-19,200.0,28
1986-08-28,200.0,28
1986-10-07,200.0,28
1986-05-15,200.0,29
1986-06-14,200.0,29
1986-07-19,200.0,29
1986-08-28,200.0,29
1986-10-07,200.0,29
1984-05-14,320.0,30
1984-06-13,320.0,30
1984-07-18,320.0,30
1984-08-27,320.0,30
1984-10-06,320.0,30
1985-05-15,320.0,31
1985-06-14,320.0,31
1985-07-19,320.0,31
1985-08-28,320.0,31
1985-10-07,320.0,31
1984-05-14,200.0,32
1984-06-13,200.0,32
1984-07-18,200.0,32
1984-08-27,200.0,32
1984-10-06,200.0,32
1984-05-14,320.0,33
1984-06-13,320.0,33
1984-07-18,320.0,33
1984-08-27,320.0,33
1984-10-06,320.0,33
1984-05-14,320.0,34
1984-06-13,320.0,34
1984-07-18,320.0,34
