plotID,CNratio,totalN
AEG01,9.72,9.147499999999999
AEG02,9.4625,8.3075
AEG03,10.43,6.0725
AEG04,9.4175,5.3374999999999995
AEG05,10.197499999999998,9.3925
AEG06,9.95,8.5475
AEG07,11.485,4.907500000000001
AEG08,10.8925,8.395
AEG09,11.9375,6.305
AEG10,10.2175,9.4175
AEG11,10.425,6.2725
AEG12,10.162500000000001,7.0075
AEG13,10.412500000000001,7.0975
AEG14,10.02,6.38
AEG15,9.83,6.7225
AEG16,10.035,6.4399999999999995
AEG17,9.9575,6.505
AEG18,9.855,6.9475
AEG19,10.004999999999999,8.13
AEG20,9.2575,9.2025
AEG21,9.969999999999999,7.2325
AEG22,11.17,4.99
AEG23,9.7575,8.542499999999999
AEG24,10.145,7.815
AEG25,11.1675,7.602500000000001
AEG26,12.1775,5.955
AEG27,11.565000000000001,8.5075
AEG28,11.192499999999999,5.065
AEG29,10.272499999999999,5.527500000000001
AEG30,9.71,6.86
AEG31,10.0875,7.24
AEG32,10.84,4.075
AEG33,10.56,4.782500000000001
AEG34,9.885,4.845
AEG35,9.96,4.369999999999999
AEG36,10.485,5.540000000000001
AEG37,10.175,6.9975
AEG38,9.71,5.449999999999999
AEG39,10.555,6.75
AEG40,9.7925,7.522499999999999
AEG41,10.3075,4.875
AEG42,9.1525,8.9475
AEG43,9.6875,8.584999999999999
AEG44,9.587500000000002,7.27
AEG45,9.6725,6.0875
AEG46,9.745,7.6475
AEG47,10.825000000000001,5.7524999999999995
AEG48,12.2925,3.5025
AEG49,10.5075,5.1225
AEG50,10.0475,7.175
HEG01,9.995000000000001,5.29
HEG02,9.682500000000001,4.17
HEG03,9.4575,3.495
HEG04,10.48,5.7975
HEG05,9.635,4.3325
HEG06,10.02,2.2
HEG07,9.635,5.487500000000001
HEG08,9.8675,5.7325
HEG09,10.9075,3.7800000000000002
HEG10,10.9925,4.0625
HEG11,10.36,5.215
HEG12,9.5825,6.945
HEG13,9.745000000000001,3.875
HEG14,10.549999999999999,3.8175
HEG15,10.227500000000001,5.4125000000000005
HEG16,10.055,6.305
HEG17,10.709999999999999,4.7425
HEG18,11.5,4.29
HEG19,10.97,5.765
HEG20,11.237499999999999,2.4675000000000002
HEG21,10.2875,3.4175
HEG22,9.74,4.91
HEG23,9.79,4.6
HEG24,9.6575,5.1325
HEG25,9.94,5.735
HEG26,9.877500000000001,4.655
HEG27,10.167499999999999,4.22
HEG28,9.639999999999999,3.5275
HEG29,10.1875,3.1475
HEG30,9.627500000000001,4.1125
HEG31,9.862499999999999,4.325
HEG32,10.4375,3.6799999999999997
HEG33,10.5075,3.7275
HEG34,9.702499999999999,3.4749999999999996
HEG35,9.510000000000002,4.8975
HEG36,10.012500000000001,5.6
HEG37,9.68,5.4625
HEG38,9.5525,3.075
HEG39,9.8275,3.825
HEG40,11.045,5.4399999999999995
HEG41,11.0775,3.6825
HEG42,10.682500000000001,4.032500000000001
HEG43,11.0425,4.225
HEG44,10.1175,7.967499999999999
HEG45,10.3025,4.2925
HEG46,9.752500000000001,2.6574999999999998
HEG47,9.870000000000001,5.547499999999999
HEG48,10.265,4.2225
HEG49,9.9,4.8075
HEG50,10.145,4.32
SEG01,10.02,20.29
SEG02,9.5075,13.905000000000001
SEG03,9.38,9.370000000000001
SEG04,9.4625,15.0225
SEG05,9.305,12.035
SEG06,11.615000000000002,24.7875
SEG07,9.695,11.5275
SEG08,9.7925,8.1175
SEG09,11.74,19.372500000000002
SEG10,9.9125,15.7475
SEG11,9.247499999999999,12.7125
SEG12,9.315,11.5225
SEG13,10.205,2.7
SEG14,9.209999999999999,11.1475
SEG15,9.1025,14.46
SEG16,9.3975,14.695
SEG17,11.9925,30.63
SEG18,11.1575,1.2525
SEG19,9.5325,8.0975
SEG20,11.795,24.127499999999998
SEG21,12.2375,21.855
SEG22,9.0525,6.73
SEG23,13.395,22.9875
SEG24,9.495,21.77
SEG25,11.4525,18.5075
SEG26,11.65,26.200000000000003
SEG27,13.6025,26.814999999999998
SEG28,10.035,15.035
SEG29,9.4525,13.5375
SEG30,9.905000000000001,2.8525
SEG31,10.545,2.535
SEG32,10.2325,2.2
SEG33,10.2975,1.84
SEG34,10.5225,1.81
SEG35,10.3675,2.2525
SEG36,10.275,2.3125
SEG37,10.657499999999999,1.26
SEG38,10.3975,1.875
SEG39,10.175,1.8825
SEG40,10.354999999999999,3.1975000000000002
SEG41,10.2775,2.2075
SEG42,10.11,2.19
SEG43,10.155000000000001,2.305
SEG44,10.045,2.1875
SEG45,10.3325,1.8900000000000001
SEG46,10.0,3.1825
SEG47,10.777500000000002,2.325
SEG48,9.905,1.6974999999999998
SEG49,10.4375,2.07
SEG50,11.2725,2.0275
